,id,title,price,rooms,surface,floor,description,bathroom,heating,garage,furniture,location,seller,seller_name
0,99528847,"
Piso en paseo de Juan Hernández Sarabia, 1, Buenavista, Getafe
",875€/mes,3 hab.,105 m²,Planta 4ª exterior con ascensor,"
Vivienda en Perfecto estado.
",2 baños,,Plaza de garaje incluida en el precio,Amueblado y cocina equipada,"
Paseo de Juan Hernández Sarabia, 1
;
Urb. SI
;
Distrito Buenavista
;
Getafe
;
Zona sur, Madrid
","
Particular
","

Rafael

"
1,95922115,"
Piso en calle Samaniego, Rejas, Madrid
",700€/mes,1 hab.,50 m²,Planta 3ª exterior con ascensor,"
Se alquila Apartamento turístico de 1 Dormitorio, totalmente amueblado y equipado ( Lavador, nevera grande, microondas). Cocina americana con ventana al salón. Habitación con cama de matrimonio y armario empotrado. Al precio de alquiler hay que añadirle 50 € mensuales, en el que se incluyen el consumo del algua y 50 € mensuales de electricida. Total mensual 750 € En el precio se incluye una plaza de garaje. La urbanización es muy agradable con zonas ajardinadas, pista de paddle, zona infantil, piscina. Vigilancia 24 horas. Cercano al CC Plenilunio. A 5 minutos del aeropuerto. Autobus 77 en la puerta y a 10 minutos de todos los autobuses que llegan al intercambiador de Avenida de America.
",1 baño,,Plaza de garaje incluida en el precio,Amueblado y cocina equipada,"
Calle Samaniego
;
Barrio Rejas
;
Distrito San Blas
;
Madrid
;
Madrid capital, Madrid
","
Profesional
","
flexiflat servicios inmobiliarios

"
2,99528745,"
Piso en calle de José Arcones Gil, 32, Pueblo Nuevo, Madrid
",920€/mes,3 hab.,86 m²,Planta 5ª exterior sin ascensor,"
Piso exterior, reformado y con mucha luz natural en todas sus estancias.Se alquila piso de 3 dormitorios, con salón independiente y cocina con comedor. Accedes a la casa y a través de un pequeño pasillo llegas al comedor con acceso directo a la cocina, todo con un ventanal grande por donde entra la luz natural.Su salón está separado de la zona de comedor, teniendo su propio espacio creando privacidad respecto a la zona de cocina. Con un gran ventanal y aire acondicionado es una estancia perfecta para pasar tiempo con los demás integrantes de la casa.Su habitación principal es amplia y también dispone Aire acondicionado. Todas las habitaciones son exteriores con luz natural.Verás que la casa está muy bien cuidada y está actualizada, con su baño completamente reformado.La casa dispone de calefacción individual y tiene ventanas climalit, para poder tener controlados los gastos de suministros.Para entrar:Se solicita 1 mes de fianza + mes de agencia Contáctanos para visitarlo en el 611634684 - Susana.
",1 baño,Calefacción individual,,Cocina equipada y casa sin amueblar,"
Calle de José Arcones Gil, 32
;
Barrio Pueblo Nuevo
;
Distrito Ciudad Lineal
;
Madrid
;
Madrid capital, Madrid
","
Profesional
","
DamaHomes

"
3,40400561,"
Dúplex en calle Francisco Lastres, 34, Fuente del Berro, Madrid
",1.350€/mes,1 hab.,65 m²,,"
No agencias, ni intermediarios.Luminoso apartamento dúplex situado en la Colonia de Fuente del Berro, en el Distrito de Salamanca. Zona muy tranquila. Calles privadas con vigilancia 24h. Orientación sur, todo exterior. Casa sin amueblar. En la planta superior del dúplex se encuentran el recibidor con un armario; el dormitorio, con un amplio armario empotrado y el cuarto de baño. El dormitorio tiene vista directa al Parque de la Fuente del Berro. Por una escalera de caracol se baja a la planta baja, donde una amplia estancia incluye el salón y la cocina, con vistas al patio/jardín de la finca. En el exterior, la vivienda dispone de una terraza de unos 10 m2.La vivienda fue construida en 2016 y se encuentra en perfecto estado. La cocina está completamente equipada, con frigorífico, lavadora-secadora, lavavajillas, horno y vitroceramica. De forma opcional se puede incluir una plaza de aparcamiento por 50€.La localización es excelente, en una tranquila colonia protegida dentro del barrio de Salamanca. Acceso muy cercano a bus y metro. No se admiten mascotas. No agencias, ni intermediarios.
",1 baño,Calefacción individual: Gas natural,,Cocina equipada y casa sin amueblar,"
Calle Francisco Lastres, 34
;
Barrio Fuente del Berro
;
Distrito Barrio de Salamanca
;
Madrid
;
Madrid capital, Madrid
","
Particular
","

Virginia

"
4,99528796,"
Piso en Clara Campoamor, Villalba Estación, Collado Villalba
",1.100€/mes,4 hab.,148 m²,Planta 5ª exterior con ascensor,"
""Agencia inmobiliaria TECNOCASA de Collado Villalba - Zona Villalba- Estación Alquila:Excelente Piso situado en C/ Clara Campoamor perteneciente a urbanización Doña Elvira, la cual dispone de amplias zonas verdes con jardines, zonas comunes, amplia piscina, etc.La vivienda se encuentra ubicada en una Quinta Planta cuyo ascensor llega hasta la cuarta planta, teniendo que subir así la ultima planta por las escaleras, el inmueble consta de cuatro dormitorios y dos de ellos con armarios empotrados, salón comedor, cocina, dos baños completos, aseo y 1 terraza y un balcón.Gracias a su altura goza de unas excelentes vista panorámicas a la sierra de Guadarrama.La ubicación es inmejorable, ya que se encuentra en una de las calles principales de Collado Villalba con múltiples servicios a su alrededor, como centros comerciales (Zoco), supermercados (DIA), Restaurantes, Farmacias, estaciones de autobús, colegios, etc.Acceso rápido a Autopista A-6, y también a carreteras que conectan a Collado Villalba con los pueblos aledaños. ! No dude en contactar con nuestros agentes inmobiliarios quienes le atenderán encantados, y le resolverán todas la dudas que tenga sobre el inmueble. ¡.NO SE ADMITEN MASCOTAS!
",2 baños,Calefacción individual: Gas natural,,Cocina equipada y casa sin amueblar,"
Clara Campoamor
;
Distrito Villalba Estación
;
Collado Villalba
;
Zona noroeste, Madrid
","
Profesional
","
TECNOCASA Estudio Nuevo Villalba

"
5,27757100,"
Piso en Ciudad Universitaria, Madrid
",1.900€/mes,2 hab.,168 m²,Planta 9ª exterior con ascensor,"
Fantástico piso sito en una novena planta, sin amueblar, exterior y muy luminoso. con terrazas y buenas vistas.Consta de amplio salón con terraza, 2 dormitorios (principal en suite), 2 baños. Cocina equipada con todos los electrodomésticos y con terraza cubierta. Aire acondicionado, calefacción central. Armarios empotrados y vestidos.Muy buenas calidades y distribución. Portal sin barreras arquitectónicasPortero 24 horas. estancia de máxima dos añosBuenas comunicaciones y con todas las prestaciones alrededor (supermercados, restaurantes, instalaciones deportivas, hospitales.. . )Próximo a la ciudad universitaria. Buen acceso a la Cra de la Coruña.
",2 baños,Calefacción central,,Cocina equipada y casa sin amueblar,"
;
Barrio Ciudad Universitaria
;
Distrito Moncloa
;
Madrid
;
Madrid capital, Madrid
","
Profesional
","
Maria Rosa de Isasa Sanchiz

"
6,97261253,"
Piso en calle de Toledo, 69, Lavapiés-Embajadores, Madrid
",1.800€/mes,1 hab.,68 m²,Planta 5ª exterior con ascensor,"
SIN COMISION de Agencia. EL ARRENDATARIO NO PAGA COMISION Alguna. DIRECTAMENTE de la Propiedad. Vivienda exterior Muy bien aislada e insonorizada, para entrar a vivir inmediatamente.EXCELENTE UBICACION Y VISTAS IMPRESIONANTES. CUENTA CON 2 BALCONES.Tenga la mejor vivienda de la zona. Se trata de un inmueble equipado para entrar a vivir.Dispone de un dormitorio.La cocina cuenta con campana extractora de 850 cm3 de extracción, con barra y equipada con todos los La Vivienda se entrega incluyendo:Placa De Induccíon WhirpoolHorno Pirolitico WhirpoolLavavajillas WhirpoolLavadora/secadora WhirlpoolMicroondasEl baño es amplio y el plato de ducha dispone de grifería para regular diferentes temperaturas.La calefacción es independiente.También tiene AIRE ACONDICIONADO split inverter MITSUBISHI de ultima generación. Toda la iluminación es de LED.Ventanas con sistema EURO-DESING 70 reforzada con estructura de acero en su interior y con las juntas de aislamiento ensambladas al calor. Con aislamiento térmico y acústico efectivo.Tiene TRASTERO.
",1 baño,Calefacción individual,,Amueblado y cocina equipada,"
Calle de Toledo, 69
;
Barrio Lavapiés-Embajadores
;
Distrito Centro
;
Madrid
;
Madrid capital, Madrid
","
Profesional
","
D74 properties

"
7,99091794,"
Piso en avenida de Alberto de Alcocer, Bernabéu-Hispanoamérica, Madrid
",3.400€/mes,4 hab.,230 m²,Planta 9ª exterior con ascensor,"
Magnifico Piso duplex, con una superficie de 230 m2, completamente reformado y amueblado con mucho gusto, con inmejorables calidades. Exterior, muy luminoso y con buena distribución. Orientación inmejorable. Prácticamente a estrenar.Se puede alquilar amueblado o sin amueblar.Se distribuye en la planta baja en: amplio hall con acceso al salón comedor, con una superficie de 60 m2, todo exterior con grandes ventanales. Baño de invitadosDespacho independienteCocina con office y gran capacidad de almacenaje. Dormitorio de servicio con baño en suite.En la planta de arriba se encuentran tres dormitorios con dos baños,El dormitorio principal con su baño en suite y vestidor.Los dos baños con puertas de madera correderas.Numerosos armarios empotrados y vestidos. Armario de almacenaje para maletas.Suelos de parquet, Calefacción individual por gas, aire acondicionado, fibra óptica.Dos puertas blindadas de acceso a la vivienda Dos ascensoresPortero físico de lunes a viernes, jornada completa.Con todas las prestaciones alrededor, con buen acceso a la M-30 y Cra de Colmenar.Buenas comunicaciones de autobús (14, 40, 51, 29, 7) y metro Linea Colombia, en 15 minutos en el aeropuerto). Próximo a parques, supermercados, Mercado de Chamartin, Colegios, Hospitales, gimnasios.. .Para visitar llamar al 600079201 y preguntar por Maria.
",4 baños,Calefacción individual: Gas natural,,Amueblado y cocina equipada,"
Avenida de Alberto de Alcocer
;
Barrio Bernabéu-Hispanoamérica
;
Distrito Chamartín
;
Madrid
;
Madrid capital, Madrid
","
Profesional
","
Maria Rosa de Isasa Sanchiz

"
8,99528648,"
Dúplex en calle del Padre Damián, Nueva España, Madrid
",1.500€/mes,2 hab.,136 m²,Planta 1ª exterior con ascensor,"
HOME ACTION ALQUILA precioso duplex sin duda ubicado en una de las mejores calles de Madrid.La casa es muy luminosa y el edificio y portal muy amplios y representativos.El piso consta de dos habitaciones, cada una de ellas con armarios empotrados, y una de ellas con una habitación anexa de desahogo de unos 6-8 metros cuadrados ideal para mesa de despacho, maletero o simplemente almacenaje.Un cuarto de baño completo y un aseo.Cocina amueblada con todos los electrodomésticos.Un salón muy grande con otra habitación de desahogo anexa similar a la de la habitación y muy buenas vistas a jardines y parques interiores.Aire acondicionado.Portero físico.Rodeado de todo tipo de comercios, servicios y transportes.No dude en visitarlo porque creemos que cumple todas las expectativas de vivir en una muy buena ubicación en un muy buen piso y con un alquiler razonable.
",2 baños,Calefacción central,,Amueblado y cocina equipada,"
Calle del Padre Damián
;
Barrio Nueva España
;
Distrito Chamartín
;
Madrid
;
Madrid capital, Madrid
","
Profesional
","
Home Action

"
9,99443997,"
Chalet adosado en Fuente del Berro, Madrid
",3.900€/mes,5 hab.,265 m²,,"
Chalet adosado de esquina de 265m2 construidos sobre una parcela de 450m2, con un amplísimo jardín, piscina y amplia zona de parking dentro de la propia parcela. Inmejorable ubicación y entorno dentro de su zona.La vivienda se distribuye en 4 plantas, en la principal nos encontramos con un amplio salón comedor con acceso directo a un porche, cocina con office totalmente equipada con acceso al porche y al jardín y 1 cuarto de baño de invitados. En 1ª Planta tenemos habitación principal con cuarto de baño y vestidor incorporados y una 2ª habitación con cuarto de baño incorporado. En la 2ª planta amplísimo salón diáfano (buhardilla). Por ultimo tenemos en planta baja 3 habitaciones con 1 cuarto de baño completo y una amplia zona de estar/salón.Calefacción individual por caldera de gas, aire acondicionado frio/calor.Entrega inmediata.
",4 baños,Calefacción individual,Plaza de garaje incluida en el precio,Cocina equipada y casa sin amueblar,"
;
Barrio Fuente del Berro
;
Distrito Barrio de Salamanca
;
Madrid
;
Madrid capital, Madrid
","
Profesional
","
inmobiliary

"
