,Ciudad,Precio,Superficie,Habitaciones,Lavabos,Planta
0,madrid,20.000,715,5,5,7ª
1,madrid,7.500,237,3,3,1ª
2,madrid,2.400,140,3,2,5ª
3,madrid,1.650,101,2,1,2ª
4,madrid,1.600,82,1,2,7ª
5,madrid,922,61,3,1,3ª
6,madrid,1.025,87,3,1,2ª
7,madrid,1.400,92,1,1,2ª
8,madrid,800,48,2,2,Bajos
9,madrid,800,65,3,1,4ª
10,madrid,905,105,1,1,4ª
11,madrid,800,43,2,1,1ª
12,madrid,1.300,73,4,3,5ª
13,madrid,1.500,75,3,3,2ª
14,madrid,1.999,160,2,2,3ª
15,madrid,3.700,263,2,2,5ª
16,madrid,1.700,96,4,3,3ª
17,madrid,2.300,110,2,1,1ª
18,madrid,3.500,217,3,2,6ª
19,madrid,1.500,148,1,2,4ª
20,madrid,1.800,135,3,2,2ª
21,madrid,95,15,4,2,8ª
22,madrid,1.010,70,3,1,4ª
23,madrid,1.600,141,1,2,5ª
24,madrid,2.300,141,3,3,4ª
25,madrid,2.300,100,4,2,Bajos
26,madrid,1.850,70,3,1,7ª
27,madrid,1.650,120,2,1,6ª
28,madrid,2.300,170,1,2,2ª
29,madrid,1.500,100,3,1,2ª
30,madrid,850,76,1,5,5ª
31,madrid,1.000,44,4,1,1ª
32,madrid,2.650,135,2,1,4ª
33,madrid,1.100,60,2,1,2ª
34,madrid,2.900,140,1,1,10ª
35,madrid,1.483,59,4,1,5ª
36,madrid,1.483,60,1,2,1ª
37,madrid,795,63,3,1,3ª
38,madrid,1.690,142,1,1,2ª
39,madrid,780,59,1,2,1ª
40,madrid,1.850,97,4,2,6ª
41,madrid,790,63,2,1,3ª
42,madrid,1.263,62,2,1,2ª
43,madrid,1.985,140,3,2,3ª
44,madrid,950,78,3,1,2ª
45,madrid,1.463,58,2,1,4ª
46,madrid,1.250,75,3,2,2ª
