,id,time,title,price,rooms,surface,floor,description,bathroom,heating,garage,furniture,location,seller,seller_name
0,99644801,22/11/2022 19:11:50,"
Piso en calle Primitiva Gañán, Pradolongo, Madrid
",750€/mes,2 hab.,60 m²,Planta 1ª exterior sin ascensor,"
Fantástico piso en ALQUILER.* Dos Dormitorios amplios y luminosos. * Baño completo con ventana* Cocina amueblada con electrodomésticos.* Salón comedor independienteSe exige el seguro de impago por lo que se necesitan aportar:1) Contrato de trabajo indefinido2) 3 últimas nominas Otras características: Suelo de parquet, armario empotrado. Está rodeado de todos tipos de servicios, supermercado, comisaría, centro de salud, ayuntamiento, biblioteca. Sobre zona y transporte:El barrio de Pradolongo está ubicado en el distrito de Usera, en el sur de Madrid. Sus límites son, por el norte, la calle de Marcelo Usera; por el este, la calle de Nicolás Usera, la calle de Mamerto López, la calle del Amor Hermoso y la calle del Doctor Tolosa Latour; por el sur, la avenida de los Poblados; y, por el oeste, la avenida de Rafaela Ybarra. Mientras que la mitad norte del barrio es fundamentalmente residencial, la mitad sur la ocupa el extenso parque de Pradolongo, que cuenta con un estanque en el centro. Dada su relativa proximidad a la autovía A-42, el barrio es fácilmente accesible en coche. También es posible tomar el autobús o acudir a las estaciones más cercanas al barrio, tanto de metro (Usera) como de cercanías (Doce de Octubre).
",1 baño,Calefacción individual: Eléctrica,,,"
Calle Primitiva Gañán
;
Barrio Pradolongo
;
Distrito Usera
;
Madrid
;
Madrid capital, Madrid
","
Profesional
","
Bafre Inmobiliaria

"
1,99628390,22/11/2022 19:11:51,"
Piso en calle de Atocha, Lavapiés-Embajadores, Madrid
",2.790€/mes,2 hab.,90 m²,Planta 5ª exterior con ascensor,"
DIZA Consultores les presenta esta fantastica promocion de OBRA NUEVA en pleno centro historico de Madrid.Se trata de una vivienda de 2 dormitorios y 2 baños, con cocina y amplio salón en el cual viene TODO INCLUIDO; Luz, agua, calefaccion, aire acondicionado e internet de alta velocidad.Es una promocion de altas calidades, cuidando todo al maximo detalle, esta disponible por meses, siendo un lugar perfecto para estar tanto estancias cortas como largas en el centro de madrid.Encuentra más en.
",2 baños,Calefacción central,,Amueblado y cocina equipada,"
Calle de Atocha
;
Barrio Lavapiés-Embajadores
;
Distrito Centro
;
Madrid
;
Madrid capital, Madrid
","
Profesional
","
Diza - Oficina Alquileres

"
2,99644614,22/11/2022 19:11:52,"
Piso en Castellana, Madrid
",8.500€/mes,5 hab.,342 m²,,"
Fantástico piso en alquiler en la Milla de OroEngel & Völkers presenta esta vivienda en la Milla de Oro. Se trata de una vivienda situada en la cuarta planta de un edificio representativo del Barrio de Salamanca. Tiene unos 300 metros cuadrados aproximadamente, que se dividen de la siguiente forma. Nada más entrar nos recibe un amplio hall ideal para grandes recepciones. El salón, dividido en tres estancias, da en su totalidad a la calle de José Ortega y Gasset. Dispone además de cuatro habitaciones y dos cuartos de baño. En la cocina, totalmente equipada se encuentra la habitación de servicio con su baño. Al estar situada en una cuarta planta, toda la vivienda tiene mucha luz. La calefacción es individual y tiene aire acondicionado. Se alquila con una plaza de garaje y un trastero incluido en el precio. La propiedad solicita un mes de fianza y dos de garantía adicional.Finca muy exclusiva con servicio de portería en plena Milla de Oro.El exclusivo barrio Castellana, es un barrio del Distrito de Salamanca donde encontramos la Milla de Oro de la capital, situado en la zona central de la ciudad de Madrid. Sus límites son al sur la Calle de Jose Ortega y Gasset, al norte y Sur con la calle Serrano; al oeste con el Paseo de la Castellana. Rápido y cómodo acceso a las principales arterías de la ciudad como el Paseo de la Castellana y la M-30. En el extremo suroccidental de este barrio se ubica el parque del Buen Retiro, el pulmón verde de la ciudad. A escasos pasos del portal, nos encontramos con las mejores boutiques de diseñadores, galerías de arte, alta gama culinaria de restauración y una oferta de ocio muy variada. Podríamos decir que es el punto estratégico del Barrio Salamanca para los amantes de la Milla de Oro y todas sus prestaciones. Una zona de lujo tranquila y residencial con zonas verdes cercanas. Esta propiedad se distingue por su tranquilidad y excelente comunicación con el resto de la ciudad con buenas comunicaciones en transporte público y vehículo propio.
",4 baños,Calefacción central,Plaza de garaje incluida en el precio,Cocina equipada y casa sin amueblar,"
;
Barrio Castellana
;
Distrito Barrio de Salamanca
;
Madrid
;
Madrid capital, Madrid
","
Profesional
","
Madrid MMC

"
3,99363286,22/11/2022 19:11:53,"
Piso en calle de Ruiz Perelló, Guindalera, Madrid
",1.125€/mes,3 hab.,75 m²,Planta 5ª exterior con ascensor,"
VIDEO DISPONIBLE! Piso totalmente reformado a estrenar en 5ª planta de edificio con conserje y ascensor junto al parque de Eva Perón.Exterior a patio de manzana, muy tranquilo.Muy bien comunicada, a 4 minutos andando de las estaciones de Metro “Ventas” y “Manuel Becerra”.Se distribuye: salón con cocina abierta tipo americana completamente amueblada y equipada con electrodomésticos, dos dormitorios dobles y un dormitorio individual, cuarto de baño con cabina de ducha.Calefacción central con contador individual, agua caliente individual eléctrica, suelos de tarima.Gastos de comunidad incluidos en el precio. REF. : 5097.
",1 baño,Calefacción central: Gas,,Cocina equipada y casa sin amueblar,"
Calle de Ruiz Perelló
;
Barrio Guindalera
;
Distrito Barrio de Salamanca
;
Madrid
;
Madrid capital, Madrid
","
Profesional
","
madrid servicios integrales de alquiler Cervera

"
4,99644589,22/11/2022 19:11:53,"
Piso en calle de Martín de los Heros, Argüelles, Madrid
",1.350€/mes,3 hab.,80 m²,Planta 1ª exterior con ascensor,"
EXCELENTE PISO EN ARGÜELLES IDEAL PARA COMPARTIR.•Arguelles/ Moncloa / Metro: Argüelles/ Moncloa• Piso en alquiler en calle Martin de los Heros• 80m²• 3 habitaciones• 1 baño• Exterior con Orientación Oeste• Planta 1 con ascensor• Sin muebles• Cocina Amueblada con todos los electrodomésticos. ¡Ven disfruta de una de las mejores zonas de Madrid!Hermoso piso con 3 habitaciones bastante cómodas, cada una con muy buena entrada de luz natural.Rodeado de zonas de ocio, excelente restauración y mucha vida joven.Su salón es muy amplio y tiene buena entrada de luz natural y de aire fresco.Todo el piso tiene una atmosfera moderna.Ubicado a pocos pasos de la calle princesa donde encontrará todo tipo de tiendas, bares y restaurantesCondiciones Económicas:- Fianza: 1 mes (reembolsable).- Suministros de electricidad, gas y agua NO Incluidos- Servicio de internet por fibra óptica NO incluido- Gastos de comunidad incluido.- 1 Mes de gestión de agenciaContáctanos para una visita:+34652296656Conoce más sobre nosotros en INSTAGRAM: @centuryhouse. es30 Años de Experiencia en el sector¡Será un placer ayudarte a conseguir tú hogar!
",1 baño,Calefacción individual: Gas natural,,Cocina equipada y casa sin amueblar,"
Calle de Martín de los Heros
;
Barrio Argüelles
;
Distrito Moncloa
;
Madrid
;
Madrid capital, Madrid
","
Profesional
","
Century House

"
5,99601273,22/11/2022 19:11:54,"
Ático en calle de los Relatores, Lavapiés-Embajadores, Madrid
",2.400€/mes,2 hab.,188 m²,Planta 5ª exterior con ascensor,"
El equipo de ABRIL y toda su experiencia de vida tienen el placer de presentarles este maravilloso ático situado en pleno corazón de Madrid, entre la plaza Tirso de Molina y la plaza Jacinto Benavente.Vivienda de 94 m2 y espectacular terraza de 75 m2. Luminoso salón de 26 m2 gracias a su gran cristalera con entrada de mucha luz natural. Cocina amueblada con muebles altos y bajos con gran capacidad de almacenamiento y totalmente equipada con electrodomésticos, con salida a la terraza donde encontraremos una zona de descanso y una caseta de madera para diversos usos. Tiene además, 2 habitaciones dobles con armarios y 2 baños, uno con bañera y el otro con plato de ducha, y uno de ellos con acceso a la terraza.Cuenta con aire acondicionado y calefacción centralizados, y agua caliente con caldera de gas individual.Los suelos son cerámicos en el salón, la cocina y el baño y parqué en el resto de la casa.Muy bien comunicado a través de la línea 1 de Metro y varias líneas de autobuses.Zona de gran diversidad y un amplio abanico de opciones de ocio y servicios.Se exige una estancia mínima de 1 año y se hará un estudio de solvencia previo.No dude en ponerse en contacto con nosotros para visitarlo, estaremos encantados de acompañarle.
",2 baños,Calefacción individual: Gas natural,,Cocina equipada y casa sin amueblar,"
Calle de los Relatores
;
Barrio Lavapiés-Embajadores
;
Distrito Centro
;
Madrid
;
Madrid capital, Madrid
","
Profesional
","
ABRIL

"
6,90553793,22/11/2022 19:11:55,"
Piso en paseo de San Francisco de Sales, 15, Vallehermoso, Madrid
",1.300€/mes,1 hab.,58 m²,Planta 2ª interior con ascensor,"
Apartamento en segunda planta interior pero a patio de manzana enorme, con amplio salón con cocina americana con mesa alta separadora, con amplio ventanal al patio, con 1 baño con ducha, y armarios empotrados. Con 1 dormitorio con ventanal. Las ventanas dobles de tipo climalit con stores automatizados y contraventanas.Sin muebles sólo la cocina amueblada y equipada con todos los electrodomésticos (Vitrocerámica, Lavavajillas, Lavadora, Frigorifico con congelador, . ) Calefacción y Aire acondicionado central con contadores individuales. En edificio de lujo con Spa, Gimnasio, Piscina, Solarium.En el precio va incluida una plaza de garaje y un trastero.Servicio de portería 24 horas.El barrio de Vallehermoso, situado en el distrito de Chamberí, en el norte de Madrid, linda, al norte, con la avenida de la Moncloa y la avenida de la Reina Victoria; al este, con la calle de Bravo Murillo; al sur, con la calle de Cea Bermúdez; y, al oeste, con la calle de Isaac Peral y el paseo de Juan XXIII. La zona cuenta con edificios residenciales, instalaciones deportivas como el importante estadio de Vallehermoso e instituciones como el Instituto Geográfico Nacional. El barrio se encuentra ubicado al lado de la Ciudad Universitaria, por lo que es un lugar de residencia ideal para estudiantes. Desde la plaza de Cristo Rey, en el extremo suroeste, el paseo de San Francisco de Sales atraviesa en diagonal el barrio hasta desembocar, en el extremo noreste, en el avenida de Pablo Iglesias. La zona está bien comunicada mediante autobuses y metro (Metropolitano, Guzmán el Bueno, Cuatro Caminos, Canal e Islas Filipinas).
",1 baño,Calefacción central,Plaza de garaje incluida en el precio,Cocina equipada y casa sin amueblar,"
Paseo de San Francisco de Sales, 15
;
Barrio Vallehermoso
;
Distrito Chamberí
;
Madrid
;
Madrid capital, Madrid
","
Profesional
","
Jose Luis

"
7,99541527,22/11/2022 19:11:56,"
Piso en calle Serrano, El Viso, Madrid
",14.500€/mes,4 hab.,270 m²,Planta 1ª exterior con ascensor,"
Exclusiva vivienda, propiedad de LaFinca, para estrenar de 270 m2 construidos más 30 m2 aproximados de terraza en Planta Primera de un edificio señorial situado en la Calle Serrano de Madrid que dispone de amplia zona verde común y piscina. Se incluyen en el precio 2 plazas de garaje y trastero, con la posibilidad de contratar aparte alguna plaza de aparcamiento adicional y trastero.La vivienda dispone de fachada a las cuatro orientaciones, Norte, Sur, Este y Oeste, lo que proporciona una excelente iluminación y ventilación natural en todas las estancias.Además, la terraza privada de la que disfruta el dormitorio principal, en la fachada Este y con vistas a la Calle Serrano, supone un rincón incomparable dentro de una gran ciudad como Madrid.Se ha llevado a cabo recientemente una reforma integral que ha mejorado la eficiencia energética de la vivienda con la renovación de las carpinterías y la actualización de las instalaciones y acabados. En la reforma se han optimizado los espacios y distribuciones para conseguir una vivienda muy confortable y acogedora. La estética tiene un importante papel en esta vivienda, pero no se deja de lado la funcionalidad y la comodidad de todas las estancias.La vivienda se compone de aseo de cortesía, salón-comedor, family room, cocina, lavadero y tres dormitorios principales en suite, más un dormitorio adicional, también en suite, que puede usarse como cuarto de invitados o para el personal de servicio.Dispone de una entrada principal, directa al salón y dos más de servicio, una al dormitorio adicional y otra a la cocina, lo que proporciona una gran independencia y comodidad tanto para la familia como para sus invitados y/o personal de servicio. Además del ascensor del hall principal también cuenta con un segundo ascensor habilitado para el acceso del personal de servicio.La cocina se ha diseñado con gran mimo para que resulte cómoda y funcional, sin perder la belleza y estética cuidada que es característica en todas las intervenciones de LaFinca.El salón-comedor orientado al sur es muy amplio y luminoso y está distribuido en dos ambientes. La zona de estar dispone de chimenea y la zona de comedor se encuentra muy cerca de la cocina. Los materiales y colores usados en la decoración, así como los papeles de revestimiento de las paredes, crean una estancia cálida y acogedora.Junto al salón se encuentra la family room, también orientada al sur, un espacio multifuncional que puede usarse como despacho, sala de estudio para los niños, cuarto de juegos o sala de lectura.Los dormitorios están separados del salón mediante una puerta corredera que independiza la zona de noche de la zona de día, proporcionando gran tranquilidad y confortabilidad a los dormitorios.Los dos dormitorios secundarios, dotados de zona de estudio, grandes armarios y zona de dormir, disponen de lavabo y ducha conectados con la zona de dormitorio e inodoro en estancia independiente, en una distribución moderna y funcional.Al dormitorio principal se accede desde un amplio vestidor y conecta con un baño en suite con bañera exenta, ducha y doble lavabo. Disfruta de un amplio ventanal orientado al este por el que se accede a una amplia terraza que proporciona un lugar de descanso completamente privado con unas vistas excepcionales.Mobiliario no incluido en el alquiler. Las fotos muestran una propuesta de amueblamiento.
",5 baños,Calefacción individual: Bomba de frío/calor,Plaza de garaje incluida en el precio,Cocina equipada y casa sin amueblar,"
Calle Serrano
;
Barrio El Viso
;
Distrito Chamartín
;
Madrid
;
Madrid capital, Madrid
","
Profesional
","
LAFINCA

"
8,99644439,22/11/2022 19:11:57,"
Piso en calle de Ricardo Ortiz, Ventas, Madrid
",1.300€/mes,3 hab.,87 m²,Planta 5ª exterior con ascensor,"
Piso de tres dormitorios reformado, amplio y luminoso, situado cerca del metro del carmen, todos los servicios, colegios, supermercados.Exterior.Reformado.Amueblado.Salon comedor de buenas dimensiones y luminoso.Terraza.Cocina amueblada con electrodomesticos.Tres dormitorios, uno doble y dos individuales.Armarios empotrados.Dos cuartos de baño completos, uno con plato de ducha y otro con bañera.Suelos de parque.Ventanas con cristales climalit oscilobatientes.Calefacion central.Aire acondicionado.Ascensor.Comunidad incluida.
",2 baños,Calefacción central,,Amueblado y cocina equipada,"
Calle de Ricardo Ortiz
;
Barrio Ventas
;
Distrito Ciudad Lineal
;
Madrid
;
Madrid capital, Madrid
","
Profesional
","
M-HABITAT-API

"
9,99508383,22/11/2022 19:11:58,"
Chalet en calle XIX, Las Matas- Peñascales, Las Rozas de Madrid
",4.500€/mes,6 hab.,600 m²,,"
INMOBARALIA alquila fantástico chalet en las Rozas. Cuenta con 600m2 construidos, distribuidos en cuatro plantas de 150m2.Cuenta con 6 habitaciones (2 en planta baja y 4 en planta primera) 7 baños (1 sótano, 3 baja y 3 primera planta)Estancias: 2 terrazas cerradas y acondicionadas, bodega, gimnasio, Cuarto de lavado, cocina/despensa, 2 vestidores y buhardilla diáfana.Plazas de Garaje: 4 interior más rampaAire acondicionado: en todas las plantas excepto en el sótanoTipo de calefacción: Gas y bomba de calorPrincipales características de la vivienda: Ascensor, aspiración centralizada, jacuzzi exterior, diferentes ambientes en el jardín, piscina y pádel comunitario para 5 chalets, sistema de video vigilancia perimetral, sistema de red Wifi/RJ45 en toda la casa.
",7 baños,Calefacción individual: Gas natural,Plaza de garaje incluida en el precio,,"
Calle XIX
;
Barrio Las Matas- Peñascales
;
Distrito Las Matas- Peñascales
;
Las Rozas de Madrid
;
Zona noroeste, Madrid
","
Profesional
","
inmobaralia

"
