,id,title,price,rooms,surface,floor,description,bathroom,garage,furniture,location,seller,heating
0,95902543,"
Piso en calle Rio Tus, Zona Juan de Borbón, Murcia
",900€/mes,,120 m²,Planta 2ª exterior con ascensor,"
¡Estupendo piso en alquiler, zona de Juan de Borbón, calle Rio Tus, Edificio Residencial Puertas de Murcia!La vivienda tiene una superficie de 120 m2 construidos y una superficie útil de 100 m2, distribuido en un amplio salón comedor, cocina, 4 dormitorios y dos cuartos de baño, dispone además de grandes armarios empotrados, suelos en tarima, aire acondicionado, video-portero, carpintería interior lacada en blanco, etc.Junto al edificio podrá disfrutar de amplios jardines y parques infantiles.Dispone de una amplia plaza de aparcamiento y un cuarto trastero.¡ DISPONIBLE PARA EL 1 DE DICIEMBRE!Condiciones alquiler: Justificar ingresos con nómina o renta.Mes de fianza, mes de agencia y mes entrante.Mas información en TODO FINCAS.
",2 baños,Plaza de garaje incluida en el precio,Amueblado y cocina equipada,"
Calle Rio Tus
;
Barrio Zona Juan de Borbón
;
Distrito Norte
;
Murcia
;
Área de Murcia, Murcia
","
Profesional
",
1,31334155,"
Piso en La Purísima-Barriomar, Murcia
",420€/mes,,60 m²,Planta 4ª exterior con ascensor,"
Apartamento 1 Dormitorio, baño, cocina amueblada con electrodomesticos, aire acondicionado frio y calor, luminoso, buena zona, para entrar a vivir, primeras calidades, parada de Bus a 2 minutos frecuencia de autobuses cada 15 minutos, a 5 minutos Autovia tanto Cartagena como Alicante, cerca Barrio del Carmen a 10 minutos. No incluye menaje, ropa de cama, ni T. V. Posibilidad de Garaje. Telefono Contacto 605 863 929 Esther.
",1 baño,,Amueblado y cocina equipada,"
;
Barrio La Purísima-Barriomar
;
Distrito Sur
;
Murcia
;
Área de Murcia, Murcia
","
Profesional
",
2,93364354,"
Piso en Huertas, 15, El Palmar, Murcia
",590€/mes,,85 m²,Planta 2ª exterior con ascensor,"
Estrena apartamento recién reformado. Todos los electrodomésticos nuevos, tarima flotante, pintura lisa, armarios empotrados vestidos, CLIMATIZACIÓN CENTRALIZADA, salón-cocina de 40m2, dormitorio doble con baño en suite, dormitorio individual, aseo de cortesía con ducha incluida, lavadero.La vivienda se encuentra a 3 minutos del Hospital Virgen de la Arrixaca en coche. Igualmente se puede coger la autovía en 2 minutos dirección Cartagena, Alicante, Murcia.PLAZA DE GARAJE INCLUIDA EN EL PRECIO.TRASTERO INCLUIDO EN EL PRECIO.
",2 baños,Plaza de garaje incluida en el precio,Amueblado y cocina equipada,"
Huertas, 15
;
Barrio El Palmar
;
Distrito Pedanías Oeste
;
Murcia
;
Área de Murcia, Murcia
","
Particular
",Calefacción central
3,96951481,"
Chalet adosado en Vista Alegre, Murcia
",3.500€/mes,,600 m²,,"
Espectacular vivienda unifamiliar, ubicada a escasos minutos del centro de murcia junto a la avenida de Europa y el edificio de urbanismo, la vivienda perfectamente equipada, con calefacción central, caldera vaillant (aerotermia), alarmas, circuito cerrado de televisión, aire acondicionado, aparato de ósmosis, cocina completa con lavabajillas, microondas, horno, placa de inducción y placa de gas, lavadero con lavadora y secadora y garaje privado en el que que caben 2/3 coches. Alarma, Control de Incendios y Riego automatico Plantas. Descripción del inmueble: La vivienda cuenta con 5 plantas 600 m2, con Ascensor en su interior. La planta baja cuenta un amplio porche con toldo automático, un gran recibidor comunicado con el amplio salón, un aseo, habitación de plancha, sala de estar, cocina con Office y lavadero con patio muy amplio. En la primera planta se ubican la habitación principal con baño en suite, vestidor independiente y balcón, en esta misma planta encontramos dos habitaciones de grandes dimensiones y otro baño completo. En la segunda planta encontramos dos dormitorios más (uno de ellos con balcón), Un baño completo de gran tamaño, un segundo salón y un despacho con terraza cubierta. En la tercera planta encontramos una terraza de grandes dimensiones, un gimnasio/sala multiusos con baño completo incorporado (cuenta con cabina de ducha de baño turco). La casa está equipada con materiales de alta calidad, tarima, mármoles, armarios completos de suelo a techo en todas las habitaciones a medida. En la planta -1 encontramos el sótano, que cuenta con una zona de ocio, con barra de bar y billar francés, una amplia habitacion y aseo para el servicio y la zona de aparcamiento. La vivienda se encuentra parcialmente amueblada con el fin de la persona interesada personalice su hogar. TELEFONO CONTACTO 609679848. GASTOS DE REVISION VIVIENDA 1.500 EUROS.
",6 baños,Plaza de garaje incluida en el precio,Amueblado y cocina equipada,"
;
Barrio Vista Alegre
;
Distrito Norte
;
Murcia
;
Área de Murcia, Murcia
","
Profesional
",
4,99526587,"
Piso en calle José Antonio Ponzoa, s/n, San Miguel, Murcia
",1.600€/mes,,220 m²,Planta 3ª exterior con ascensor,"
Se alquila vivienda de 3 grandes dormitorios, dos baños, amplio salón y cocina-comedor equipada con todos los electrodomésticos en una zona exclusiva de la ciudad.No dispone de plaza de garaje, pero existe la posibilidad de arrendar muy cerca de la vivienda.Vivienda reformada en excelentes condiciones y calidades de primera. Suelo de tarima. Grandes armarios empotrados para almacenaje.Se exige nómina, contrato indefinido y a la entrada se deberá abonar el mes correspondiente, una renta de igual monto por la fianza y otra por comisión.Si está interesado solicite más información.
",2 baños,,Cocina equipada y casa sin amueblar,"
Calle José Antonio Ponzoa s/n
;
Barrio San Miguel
;
Distrito Centro
;
Murcia
;
Área de Murcia, Murcia
","
Profesional
",Calefacción central
5,31287091,"
Estudio en ciudad de almeria, 209, La Purísima-Barriomar, Murcia
",380€/mes,,35 m²,Planta 3ª exterior con ascensor,"
Estudioo con cama abatible, baño, cocina amueblada con electrodomesticos, aire acondicionado frio y calor, luminoso, buena zona, para entrar a vivir, primeras calidades, parada de Bus a 2 minutos frecuencia de autobuses cada 15 minutos, a 5 minutos Autovia tanto Cartagena como Alicante, cerca Barrio del Carmen a 10 minutos. No incluye menaje, ropa de cama, ni T. V. Posibilidad de Garaje. Telefono Contacto 605 863 929 Esther.
",1 baño,Plaza de garaje por 50 €/mes adicionales,Amueblado y cocina equipada,"
ciudad de almeria, 209
;
Barrio La Purísima-Barriomar
;
Distrito Sur
;
Murcia
;
Área de Murcia, Murcia
","
Profesional
",
6,99526296,"
Piso en calle Emeterio Cuadrado, 5, Mula
",450€/mes,,125 m²,Planta 3ª exterior con ascensor,"
Se alquila piso de 110 metros cuadrados con tres habitaciones, dos baños, salón muy amplio, cocina totalmente equipada, lavadero muy espacioso y terraza muy aprovechable en el centro de Mula. El piso está amueblado y se encuentra en perfecto estado.
",2 baños,,Amueblado y cocina equipada,"
Calle Emeterio Cuadrado, 5
;
Mula
;
Río Mula, Murcia
","
Particular
",Calefacción individual: Eléctrica
7,99462599,"
Piso en Del Pino, Alcantarilla
",450€/mes,,56 m²,Planta 1ª exterior con ascensor,"
Piso de alquiler en Alcantarilla. Con una superficie de 56 m2, distribuido en 1 dormitorio, 1 baño, salón y cocina americana.Suelos de tarima, baño completo con plato de ducha, cocina amueblada y equipada con electrodomésticos. Recién reformado.Primera planta con ascensor.Situado en zona tranquila con comercios, supermercado, bares, restaurantes, guardería, entidades bancarias, etc.Fácil acceso a carretera N-344Al precio del alquiler hay que sumarle el importe correspondiente al seguro de rentas. REQUISITOS:Aportación de la documentación necesaria para acreditar ratio de solvencia.1 mes de fianza + mes de comisión de agenciaA la firma de contrato se solicitará seguro de vivienda y seguro de rentas (3% +IVA).
",1 baño,,Cocina equipada y casa sin amueblar,"
Del Pino
;
Alcantarilla
;
Área de Murcia, Murcia
","
Profesional
",
8,99523972,"
Estudio en calle Floridablanca, 64, El Carmen, Murcia
",550€/mes,,30 m²,Planta 1ª exterior sin ascensor,"
Estudio en en C/ Floridablanca, junto gasolinera el Rollo (Barrio del Carmen), una de las mejores zonas residenciales de Murcia. Vivienda recién reformada. Primero sin ascensor. Consta de estancia única con zona dormitorio, salón-comedor, cocina, 1 baño, a fachada exterior, aire acondicionado centralizado con bomba de calor. Zona residencial muy tranquila y a tan sólo 10 min. de la plaza de la Catedral. Parking disuasorio a 2 min. Entrada autovía 1 min. Agua, internet banda ancha, Netflix y Comunidad incluido en el precio.
",1 baño,,Amueblado y cocina equipada,"
Calle Floridablanca, 64
;
Barrio El Carmen
;
Distrito Sur
;
Murcia
;
Área de Murcia, Murcia
","
Particular
",
9,99488238,"
Piso en avenida Nueva Condomina, Churra, Murcia
",615€/mes,,127 m²,Planta 3ª exterior con ascensor,"
PRIMER MES DE ALQUILER Y ALTA DE SUMINISTROS GRATIS ¡SIN COMISIÓN DE AGENCIA!*Al precio del alquiler hay que sumarle el importe correspondiente del seguro de rentas.Vivienda en Nueva Condomina. Tercera planta de 127 m2. Distribuido en 2 dormitorios, 2 baños, salón comedor, cocina equipada y balcón.Cocina equipada con electrodomésticos: vitrocerámica, campana, horno, frigorífico, lavadora y lavavajillas.Zona comunitaria con jardines, 2 piscinas, parque infantil, pistas de padel y tenis.-Tres primeros años bonificados de comunidad e ibi.UBICACIÓN Y ENTORNO:Zona bien comunicada, a escasos 15 minutos a pie del centro comercial Nueva Condomina, con una amplísima oferta de tiendas, supermercados y restauración. La zona está perfectamente conectada con el resto de la ciudad a través de varias líneas de autobuses (1, 21, 26, 42, 50) y de la línea 1 del tranvía. También tiene acceso directo a la autovía AP7.A tan solo 13 minutos del centro de Murcia y a 16 minutos del Hospital General Universitario.REQUISITOS:Aportación de la documentación necesaria para acreditar ratio de solvencia.1 mes de fianza.A la firma de contrato se solicitará seguro de vivienda (contenido) y seguro de rentas (3,70% = 22,75 €/mes).Altas de agua y luz por cuenta de Tempore.Ventajas de ser un inquilino Tempore:-Nuestra gran oferta se adapta a sus necesidades. Pregúntenos.-No sólo va a disfrutar de su casa, si no también de la finca en la que vive. Cuidamos nuestras Promociones.-Ante cualquier incidencia, No se encontrará solo. Cuenta con un Equipo de profesionales a su servicio y más ventajas que irá conociendo¿TODAVÍA SE LO ESTÁ PENSANDO? ÚNASE A LA FAMILIA TEMPORE.
",2 baños,,Cocina equipada y casa sin amueblar,"
Avenida Nueva Condomina
;
Barrio Churra
;
Distrito Pedanías Norte
;
Murcia
;
Área de Murcia, Murcia
","
Profesional
",Calefacción individual: Bomba de frío/calor
