,Ciudad,Precio,Superficie,Habitaciones,Lavabos,Planta
0,Madrid,20.000,715,5,5,7ª
1,Madrid,7.500,237,3,3,1ª
2,Madrid,3.200,209,3,2,2ª
3,Madrid,1.450,106,3,1,2ª
4,Madrid,1.300,40,1,1,4ª
5,Madrid,1.650,101,2,2,5ª
6,Madrid,1.500,75,3,2,2ª
7,Madrid,2.400,140,3,1,7ª
8,Madrid,905,105,2,1,2ª
9,Madrid,1.600,82,3,5,2ª
10,Madrid,1.400,92,5,1,Bajos
11,Madrid,2.950,288,2,1,4ª
12,Madrid,825,50,1,1,3ª
13,Madrid,800,43,2,2,3ª
14,Madrid,1.300,73,1,2,5ª
15,Madrid,2.300,110,2,3,9ª
16,Madrid,825,61,3,2,5ª
17,Madrid,870,70,3,1,Bajos
18,Madrid,2.250,121,2,2,7ª
19,Madrid,2.000,148,2,1,4ª
20,Madrid,1.300,107,3,1,2ª
21,Madrid,900,49,1,2,2ª
22,Madrid,1.500,100,3,5,1ª
23,Madrid,1.290,65,4,1,3ª
24,Madrid,1.000,44,2,1,10ª
25,Madrid,2.650,135,2,1,2ª
26,Madrid,2.900,140,2,1,2ª
27,Madrid,1.150,76,2,1,1ª
28,Madrid,1.000,72,3,2,3ª
29,Madrid,1.483,59,4,2,1ª
30,Madrid,1.483,60,1,1,6ª
31,Madrid,950,60,4,2,2ª
32,Madrid,2.200,170,1,1,3ª
33,Madrid,1.985,140,2,1,6ª
34,Madrid,1.133,42,2,1,3ª
35,Madrid,1.100,105,3,2,4ª
36,Madrid,1.263,62,1,1,9ª
37,Madrid,1.463,58,2,2,5ª
38,Madrid,970,80,1,1,1ª
39,Madrid,1.750,81,3,2,3ª
40,Madrid,1.100,64,2,1,Bajos
41,Madrid,1.100,78,1,1,Bajos
42,Madrid,750,50,3,3,4ª
43,Madrid,1.600,101,3,3,11ª
44,Madrid,1.250,60,1,1,6ª
45,Madrid,1.100,60,3,3,4ª
46,Madrid,3.100,200,4,5,3ª
47,Madrid,2.300,189,1,1,3ª
48,Madrid,1.300,72,2,1,3ª
49,Madrid,3.800,160,2,2,3ª
50,Madrid,3.300,240,1,2,2ª
51,Madrid,800,60,1,1,2ª
52,Madrid,950,75,2,1,6ª
53,Madrid,3.300,115,4,2,3ª
54,Madrid,3.300,150,3,2,7ª
55,Madrid,1.200,68,4,4,3ª
56,Madrid,1.500,73,3,2,4ª
57,Madrid,2.300,141,2,1,Bajos
58,Madrid,1.950,125,2,2,1ª
59,Madrid,7.500,234,1,1,6ª
60,Madrid,2.500,130,4,2,1ª
61,Madrid,1.508,63,7,8,3ª
62,Madrid,1.900,115,2,2,1ª
63,Madrid,950,50,2,2,1ª
64,Madrid,1.750,130,1,1,4ª
65,Madrid,8.500,670,2,1,2ª
66,Madrid,3.200,127,1,1,4ª
67,Madrid,2.100,98,1,1,2ª
68,Madrid,1.250,73,11,1,4ª
69,Madrid,900,80,2,1,1ª
70,Madrid,840,60,1,2,1ª
71,Madrid,1.438,47,2,2,7ª
72,Madrid,900,64,3,2,2ª
73,Madrid,800,55,2,2,2ª
74,Madrid,1.100,52,3,1,2ª
75,Madrid,1.250,72,3,1,3ª
76,Madrid,1.450,95,3,2,2ª
77,Madrid,1.450,100,2,1,6ª
78,Madrid,875,100,3,2,5ª
79,Madrid,1.300,90,3,2,4ª
80,Madrid,1.290,85,2,2,2ª
81,Madrid,1.099,128,5,4,5ª
82,Madrid,1.800,190,3,1,5ª
83,Madrid,2.300,120,1,1,4ª
84,Madrid,1.600,108,3,1,1ª
85,Madrid,1.250,118,1,1,6ª
86,Madrid,2.700,277,2,2,3ª
87,Madrid,1.500,93,3,2,2ª
88,Madrid,1.495,50,2,1,2ª
89,Madrid,1.250,70,4,3,9ª
90,Madrid,925,49,3,2,5ª
91,Madrid,3.200,107,3,1,Bajos
92,Madrid,1.400,110,3,2,Bajos
93,Madrid,1.800,197,2,2,1ª
94,Madrid,2.100,200,2,2,6ª
95,Madrid,1.200,112,3,2,1ª
96,Madrid,1.195,90,1,1,6ª
97,Madrid,1.600,140,3,2,5ª
98,Madrid,1.150,92,3,2,2ª
99,Madrid,1.150,75,1,1,3ª
100,Madrid,1.500,100,2,2,3ª
101,Madrid,1.300,60,2,1,+15
102,Madrid,1.400,91,3,2,1ª
103,Madrid,2.045,112,4,4,5ª
104,Madrid,900,50,2,1,2ª
105,Madrid,1.300,90,2,2,1ª
106,Madrid,960,70,1,1,Sótano
107,Madrid,1.040,95,3,2,3ª
108,Madrid,2.800,120,2,1,4ª
109,Madrid,850,69,2,1,6ª
110,Madrid,3.250,81,2,1,3ª
111,Madrid,2.250,67,2,2,14ª
